EID,Name,Salary
74,Shyam,46137.21621064306
75,Ram,47267.47810456891
76,Ram,6825.772160831911
77,Hari,61887.180289414966
78,Suman,56755.697734229616
79,Ram,89163.3977588316
80,Suman,55676.157738418966
81,Suman,95273.97757864177
82,Shyam,73687.03045753826
83,Hari,12307.319419210384
84,Ram,20963.66668534102
85,Hari,30112.978550646963
86,Ram,86058.53387939713
87,Suman,91617.0478903982
88,Ram,62293.9474236058
89,Suman,31719.582388557497
90,Hari,98661.77370468673
91,Suman,34469.89481028969
92,Ram,6336.241923692664
93,Hari,24135.42728519341
94,Sita,24396.89905400655
95,Ram,97791.8802068714
96,Ram,22961.113773909226
97,Ram,25946.689045871353
98,Ram,19645.007625874943
99,Hari,2501.726597741094
100,Hari,75679.37341148248
101,Ram,93552.34311845097
102,Sita,89103.83893656
103,Sita,91828.23585278951
104,Suman,65932.23651166544
105,Hari,60887.12665874351
106,Shyam,64559.02330701121
107,Suman,78408.56015675775
108,Sita,53955.96164407218
109,Ram,15404.57628730021
110,Sita,50023.73546011185
111,Shyam,66151.64433949879
112,Sita,35279.50917024999
113,Suman,2203.7257852480343
114,Ram,5821.673804715655
115,Suman,45674.461845651385
116,Shyam,45626.416248782145
117,Suman,41692.344326267295
118,Ram,68923.93762607884
119,Ram,11929.894243117722
120,Suman,89325.74734855164
121,Suman,35819.37919924113
122,Sita,1016.7019032286117
123,Shyam,5574.308663645744
124,Suman,27750.91527568573
125,Shyam,98708.35414866665
126,Ram,75057.62828251554
127,Hari,85088.1279593088
128,Suman,33281.77328189136
129,Suman,30274.828280187015
130,Hari,56299.30067064144
131,Ram,13455.758944981211
132,Ram,6769.608268175053
133,Suman,31613.471927479397
134,Shyam,97070.74946023201
135,Hari,47593.28063066836
136,Hari,18914.387910410624
137,Sita,72782.36367584637
138,Hari,49021.37509313541
139,Sita,23466.61157132629
140,Shyam,28092.815597181485
141,Sita,14892.947300385295
142,Hari,61223.6989606716
143,Suman,36927.665663726286
144,Hari,11064.698052287602
145,Sita,54660.4793731687
146,Hari,95437.27453638372
147,Sita,23192.68201817788
148,Shyam,65189.84391053666
149,Hari,91629.59348177862
150,Hari,22405.198167414364
151,Shyam,84941.30453345364
152,Shyam,46111.661340823615
153,Ram,71306.83656146265
154,Shyam,77657.16544842397
155,Hari,162.40924141384116
156,Hari,13962.669120119353
157,Ram,48000.89257773559
158,Shyam,8658.398426081281
159,Sita,26947.82424628188
160,Sita,83889.39170752472
161,Hari,2656.916249693486
162,Suman,72405.56781817625
163,Shyam,85948.98869551168
164,Hari,93724.68506459428
165,Suman,40495.77061990671
166,Sita,37627.19747521636
167,Ram,10636.919764537333
168,Suman,23289.81899909445
169,Shyam,62960.54502032517
170,Suman,81676.36981395842
171,Shyam,52460.42490163564
172,Shyam,75341.69721226994
173,Ram,83814.73316144603
174,Sita,92977.35804738395
175,Hari,10670.667518720533
176,Shyam,89821.35151549672
177,Suman,98076.04050220287
178,Suman,18091.141563798807
179,Sita,90099.40652469684
180,Sita,15266.929959870335
181,Suman,26995.280155816592
182,Suman,68404.16685149616
183,Shyam,68847.54645925439
184,Ram,36120.851758570614
185,Suman,5548.379783524926
186,Shyam,92687.15175669697
187,Ram,15640.556018084928
188,Sita,36144.41128022755
189,Sita,37443.47172057636
190,Ram,48248.52572243581
191,Hari,67590.7985598677
192,Shyam,27772.329339274314
193,Ram,68964.94371969569
194,Sita,13418.80464066436
195,Hari,92404.88101451438
196,Hari,28274.65988788841
197,Hari,8074.474554669264
198,Suman,668.1803450091172
199,Ram,68005.29562198016
200,Ram,59352.60094848506
201,Hari,17084.923835261347
202,Shyam,47336.79216174598
203,Shyam,43624.106051329894
204,Suman,52097.92838719152
205,Suman,68225.63920508545
206,Sita,44936.42265271013
207,Ram,96474.70220427652
208,Hari,12145.874350561837
209,Ram,70873.65153167567
210,Ram,60876.804387434015
211,Suman,80790.27413390746
212,Sita,26484.279767181586
213,Hari,24411.98617526308
214,Sita,39683.980046485834
215,Shyam,19754.233246462594
216,Sita,31416.727818088297
217,Hari,92215.4098238874
218,Shyam,24366.410899734557
219,Hari,63371.00597896406
220,Ram,46438.88858043458
221,Sita,20361.646108751265
222,Sita,32476.902942073804
223,Shyam,71383.30205248308
224,Sita,38117.023973985786
225,Shyam,48798.96627822619
226,Ram,7243.975705508698
227,Sita,91837.29799746526
228,Ram,93402.14807806863
229,Sita,50651.31784389537
230,Hari,37417.878120649184
231,Hari,6558.012853949935
232,Sita,8405.25630935125
233,Sita,28874.710125702753
234,Suman,97399.37913796862
235,Hari,12502.259196094767
236,Hari,90431.913769736
237,Shyam,82997.90391438732
238,Shyam,72554.7386350914
239,Sita,66338.71103070209
240,Hari,47166.22947436443
241,Ram,1378.5866104408794
242,Sita,36762.13487586212
243,Hari,47291.91990224404
244,Suman,3532.291856344438
245,Suman,97347.68511842478
246,Suman,17939.406181820395
247,Ram,62251.866596909735
248,Suman,29747.92987438354
249,Hari,14114.84927299449
250,Shyam,62895.95518721898
251,Hari,85206.29918815587
252,Shyam,5211.505537397409
253,Ram,30560.456847046036
254,Sita,33510.05189267289
255,Ram,42568.00350202198
256,Hari,82824.26737024069
257,Suman,6355.562085974131
258,Shyam,71500.42632840156
259,Shyam,58709.05286610015
260,Suman,33405.82321419952
261,Hari,86336.48477153454
262,Hari,32972.09955070446
263,Ram,38504.60630258816
264,Shyam,12115.39172301328
265,Shyam,48020.90532018995
266,Ram,38523.0966062273
267,Sita,20055.19144250524
268,Shyam,91019.00327257773
269,Shyam,41659.136457559376
270,Sita,30402.63196381624
271,Sita,29976.433734536346
272,Sita,52051.72481908551
273,Hari,28567.975089100073
274,Ram,28052.52121036045
275,Ram,19874.275023864553
276,Ram,62953.56033123415
277,Sita,18993.6209475126
278,Suman,547.0322154080498
279,Ram,68249.31015592768
280,Ram,64820.38390683664
281,Hari,64317.805039298546
282,Shyam,42047.36025900456
283,Hari,26484.7769922523
284,Shyam,97140.75791288007
285,Suman,17964.275660995212
286,Ram,66092.8564424992
287,Hari,61491.887941074616
288,Ram,71775.12560281379
289,Hari,20077.46121923484
290,Hari,4613.228105101141
291,Sita,56010.42399787942
292,Suman,36447.61914368059
293,Shyam,17285.068553340177
294,Ram,45216.752974024654
295,Shyam,21191.152514628764
296,Hari,35587.93802448444
297,Suman,8767.247531821477
298,Hari,7334.167347075915
299,Shyam,56298.57446148226
300,Hari,19122.95434955863
301,Ram,89511.19816966163
302,Shyam,58110.99073042824
303,Shyam,95186.85344014404
304,Suman,77129.72268982901
305,Suman,75.83803598804062
306,Suman,57955.34461424519
307,Suman,96250.49663654318
308,Suman,6099.344709704879
309,Sita,44305.047709109735
310,Hari,84585.04771727925
311,Hari,82116.70744661524
312,Shyam,1550.6195208260242
313,Hari,18225.574517529243
314,Shyam,54178.66160289913
315,Hari,66310.08752186928
316,Shyam,88663.91968696384
317,Ram,58891.23141245619
318,Suman,32578.430184455654
319,Ram,71416.85191454775
320,Shyam,58581.944925668126
321,Shyam,59628.444121086366
322,Sita,89154.1340155533
323,Suman,67715.78142861418
324,Hari,36710.54321842168
325,Hari,56254.94306630526
326,Sita,83702.62597126755
327,Shyam,94670.68354482892
328,Sita,74361.17892539094
329,Suman,53730.289638358045
330,Suman,7354.135954737084
331,Shyam,81120.20832713688
332,Suman,33530.344451591984
333,Hari,28890.958587158588
334,Shyam,37049.66300524691
335,Suman,20377.94740848622
336,Ram,72425.64996479204
337,Shyam,42217.049440064446
338,Ram,90713.45152850762
339,Hari,41076.89750656448
340,Suman,76496.24082905731
341,Ram,5847.958309584067
342,Ram,94849.98948598432
343,Suman,29744.21784684993
344,Hari,2912.891752613689
345,Shyam,68986.72820298141
346,Ram,64626.67694954877
347,Ram,71261.2067952401
348,Sita,81396.86694855255
349,Shyam,81194.39321719197
350,Hari,70698.9843322601
351,Shyam,49560.61091109204
352,Hari,59460.47972973202
353,Ram,92837.55637580495
354,Ram,1894.1092470545761
355,Sita,19835.094218837155
356,Hari,86546.21752845241
357,Sita,30960.386816523445
358,Suman,87610.41653574778
359,Shyam,72725.80520913699
360,Hari,85943.02101989373
361,Suman,38144.460837109174
362,Shyam,75261.28366020387
363,Suman,81438.44129772382
364,Hari,59699.76417089464
365,Hari,34238.65253263899
366,Suman,72270.35416248866
367,Suman,22560.01070940006
368,Suman,92702.38020819656
369,Hari,84957.57831578697
370,Hari,51007.004115262986
371,Sita,87186.24061786583
372,Suman,97978.49403088978
373,Suman,81907.77727969739
374,Sita,36820.703514497065
375,Suman,11277.998960838797
376,Hari,70512.79493936068
377,Ram,66705.3008763086
378,Suman,79922.72187491825
379,Sita,69419.21642584223
380,Ram,49690.67501918926
381,Ram,63998.91083254955
382,Sita,23207.525638751802
383,Suman,70323.92260349295
384,Sita,23748.401965218858
385,Ram,74097.17635372315
386,Shyam,9826.255475981405
387,Sita,18383.96097856988
388,Ram,1067.0533727946352
389,Suman,13453.517226081913
390,Hari,82665.98771401824
391,Ram,97350.91295778146
392,Suman,69198.11333633985
393,Sita,28769.784556178314
394,Ram,53715.84472169506
395,Shyam,80516.93965603682
396,Suman,99330.94118980542
397,Shyam,92663.57724276258
398,Shyam,20338.622912304938
399,Hari,87065.49610537154
400,Sita,46370.80982642228
401,Shyam,82912.72729422052
402,Sita,52631.576467212115
403,Suman,90348.6561941636
404,Hari,30070.20752011611
405,Ram,73735.16787877772
406,Suman,57491.58751943566
407,Ram,45271.295929728796
408,Sita,39345.286874007026
409,Ram,79495.79209123028
410,Ram,33302.00329325287
411,Sita,47224.92233936542
412,Suman,77853.59237257113
413,Hari,18645.7410268804
414,Hari,38910.53295330781
415,Shyam,33872.24143832943
416,Sita,98865.05495084266
417,Hari,4176.291840349755
418,Shyam,73267.33493153522
419,Hari,66042.87404626307
420,Sita,15245.059373863323
421,Sita,67935.42690150677
422,Shyam,31566.82886026313
423,Shyam,70234.9334841815
424,Ram,84820.70409980416
425,Ram,11659.344886761914
426,Sita,37499.44472166763
427,Hari,14735.378485852834
428,Ram,85757.18041171733
429,Shyam,1225.0127046511739
430,Ram,10115.686158957027
431,Ram,50879.469580393554
432,Ram,6421.289596251534
433,Ram,97038.88902068324
434,Sita,11194.008410054901
435,Suman,75908.71336477356
436,Ram,37500.09373072344
437,Shyam,62239.804273436406
438,Hari,17659.64606486664
439,Suman,18201.120644409384
440,Sita,17610.909634741834
441,Shyam,72991.13387917215
442,Hari,91107.65469822673
443,Shyam,22829.913799555234
444,Shyam,95487.82101736647
445,Suman,360.30809399849596
446,Shyam,73762.46191798888
447,Shyam,95502.4602305669
448,Suman,6979.9804805793065
449,Sita,70378.9598308274
450,Suman,34383.304492253184
451,Shyam,21872.74262589144
452,Sita,71348.99568409933
453,Shyam,33789.30206589928
454,Sita,2736.934972189009
455,Ram,59413.38535764882
456,Ram,93118.00076508267
457,Sita,87891.71974588218
458,Sita,33491.27118023749
459,Shyam,88551.49089177797
460,Ram,29937.44942080704
461,Hari,27658.494146852387
462,Shyam,67277.2366928329
463,Suman,4741.49275835628
464,Sita,86209.0707823365
465,Hari,28014.161813152095
466,Shyam,76193.04913363385
467,Sita,67193.99016190562
468,Hari,47653.5998390744
469,Shyam,21958.772761956956
470,Hari,46010.4213356809
471,Sita,97995.76912660671
472,Suman,68395.38051798232
473,Hari,12289.826463269004
474,Shyam,71157.39636394285
475,Sita,47386.974838788134
476,Shyam,92105.7731193693
477,Hari,316.85786380242223
478,Sita,23850.088470176168
479,Shyam,58448.195956516545
480,Hari,11461.79107348788
481,Suman,31925.934092636566
482,Sita,33356.12738024728
483,Suman,39333.874550757486
484,Shyam,31817.532316597153
485,Shyam,89079.1170418716
486,Suman,95921.37155030038
487,Sita,4188.200502845585
488,Shyam,27401.68626865288
489,Shyam,72688.9476757914
490,Hari,17667.778163619798
491,Hari,19573.87987872121
492,Ram,54911.00837666212
493,Suman,15304.713480672272
494,Suman,86391.13389775035
495,Hari,59777.44729211706
496,Suman,99998.24071264737
497,Suman,89755.12406540771
498,Sita,40350.43496536246
499,Shyam,92685.87360783787
500,Suman,62698.89687039346
501,Hari,71414.41648245223
502,Sita,21517.863870181485
503,Sita,48343.62363502559
504,Ram,80206.61762040976
505,Ram,83684.4825863099
506,Hari,27329.133132168994
507,Ram,76687.01152520865
508,Suman,32385.887433103944
509,Hari,80028.16535864913
510,Sita,79116.95473543793
511,Ram,88852.94947747703
512,Hari,10078.59014112007
513,Shyam,45625.783783733874
514,Suman,85352.98540770759
515,Sita,67867.29284644946
516,Ram,83309.69608506223
517,Suman,71479.23019316622
518,Suman,3436.3233669204906
519,Ram,32123.367287873094
520,Hari,22041.38373964355
521,Hari,48428.97737390702
522,Hari,41399.86696083337
523,Shyam,2557.969077899025
524,Sita,73350.63574356021
525,Sita,58206.420893403345
526,Ram,53209.10785153324
527,Ram,71499.86102640137
528,Ram,18117.625806433378
529,Ram,89417.27402281897
530,Hari,52581.566593353156
531,Ram,82169.08533678977
532,Hari,41970.5564124108
533,Hari,28873.00880379541
534,Ram,98177.24334151496
535,Hari,61666.4571016408
536,Sita,60074.68158529453
537,Ram,12543.877712831352
538,Suman,45159.4300382464
539,Suman,42372.2436658429
540,Suman,64920.53406223016
541,Suman,51906.50032183864
542,Shyam,32989.80828761706
543,Hari,93.18564040196043
544,Hari,21721.760207366424
545,Hari,49136.515891445786
546,Sita,21560.976636921503
547,Hari,75995.00111925534
548,Ram,91587.09721488188
549,Suman,46756.29176914433
550,Sita,34642.52142070157
551,Suman,95273.76648231626
552,Shyam,23071.474356882005
553,Shyam,10921.491903172797
554,Sita,75321.89378520721
555,Suman,55212.75645066259
556,Hari,19794.113532012292
557,Hari,30598.12908955909
558,Sita,98402.24533845294
559,Sita,13941.297348994818
560,Shyam,74682.74090541573
561,Ram,41613.46485469247
562,Hari,91792.01741636138
563,Sita,15782.75435751314
564,Shyam,62535.60510211922
565,Ram,68232.58353060913
566,Shyam,24752.78547585028
567,Suman,10617.030061996502
568,Suman,16474.099668290954
569,Ram,20402.00563791963
570,Ram,54158.86517497336
571,Ram,63521.595484538804
572,Sita,73309.25225836976
573,Shyam,64008.010402120606
574,Shyam,16600.620384225018
575,Suman,17491.00946078215
576,Ram,32811.44920797718
577,Suman,65891.74818885332
578,Hari,80048.98265284116
579,Sita,43506.89268386936
580,Sita,88956.1077504498
581,Shyam,76257.70001803362
582,Suman,15352.386415813002
583,Sita,56657.0711492132
584,Hari,65441.75688656781
585,Shyam,26822.241562822725
586,Shyam,6741.658932214589
587,Suman,31298.670252759308
588,Hari,58906.93640042753
589,Hari,53361.33677334786
590,Ram,21242.10019887891
591,Suman,72215.76715371119
592,Sita,67289.51963697957
593,Hari,72328.65780896466
594,Sita,19601.407774098578
595,Suman,31155.208908716726
596,Suman,95368.38515313136
597,Sita,42604.605261924764
598,Ram,30143.13053856843
599,Shyam,11062.070253577971
600,Shyam,97989.11342363301
601,Shyam,96620.93745687403
602,Hari,96601.6005780276
603,Shyam,91356.3978126439
604,Suman,9255.735520550901
605,Ram,175.55924389984767
606,Suman,61141.32518962792
607,Shyam,79598.55545452167
608,Shyam,10693.491215278971
609,Shyam,81623.81463586449
610,Ram,29843.95132411156
611,Shyam,26953.69282126667
612,Ram,23689.95338951887
613,Hari,49695.87492890373
614,Suman,72146.95751136073
615,Ram,73096.80380067245
616,Hari,43863.65698300213
617,Shyam,37629.62213384056
618,Shyam,93778.37516307633
619,Suman,96530.89668620499
620,Hari,60395.071453576864
621,Sita,37702.926937796845
622,Hari,77741.28560076092
623,Sita,34834.254025087954
624,Hari,12001.911497960116
625,Shyam,48787.202507733266
626,Shyam,32143.945074036605
627,Suman,2965.2950345979702
628,Sita,47575.2837621625
629,Hari,15138.297951442824
630,Ram,66552.78349543658
631,Shyam,38768.27273796152
632,Ram,83532.90491147917
633,Hari,37985.140973296715
634,Shyam,10147.412320648307
635,Hari,56520.764707073125
636,Ram,21534.696639872753
637,Sita,35627.65655569355
638,Suman,66898.42050079844
639,Hari,43558.860279995635
640,Hari,63296.95484940665
641,Shyam,76379.42103183517
642,Sita,25567.261132484407
643,Ram,76980.38478031158
644,Hari,83008.73382962207
645,Suman,95477.36271838521
646,Suman,94689.49032211665
647,Sita,26346.945937631528
648,Ram,36602.82092902798
649,Shyam,34667.1633990005
650,Suman,49006.363293988295
651,Ram,70772.60702860363
652,Sita,61645.44877333862
653,Suman,7173.76640835744
654,Sita,43223.139383263486
655,Suman,44633.12102001402
656,Hari,23922.35178716695
657,Shyam,72928.18701535877
658,Sita,73037.00773717044
659,Suman,39722.0876940231
660,Suman,23738.81561543132
661,Hari,40255.2861211233
662,Hari,58191.9542340077
663,Shyam,48751.76547663222
664,Shyam,16316.10815048251
665,Shyam,19228.214299636402
666,Hari,93696.99031749708
667,Sita,12764.474916245439
668,Suman,67316.94545060652
669,Hari,19152.33978162044
670,Shyam,83055.88937745013
671,Suman,74331.76889033773
672,Hari,72811.12373755017
673,Suman,90003.29612280786
674,Sita,71760.26215467605
675,Sita,93051.15619793469
676,Ram,15622.537510183322
677,Suman,68816.48569533136
678,Ram,30448.051467499514
679,Hari,85826.07496674261
680,Shyam,35022.57737525097
681,Ram,79184.3760260633
682,Sita,1845.2381921302608
683,Ram,71891.43755889693
684,Suman,58779.47561474264
685,Ram,30122.8629664017
686,Ram,10449.1134696164
687,Sita,30113.836971701756
688,Sita,66045.25702049358
689,Hari,87078.11665648504
690,Ram,64801.35165688721
691,Shyam,58778.90838382288
692,Hari,59146.442910895246
693,Shyam,96344.30486126294
694,Ram,43064.24945597741
695,Suman,46165.67305385749
696,Hari,95286.49298243306
697,Shyam,42126.73220005042
698,Suman,8899.404932813193
699,Shyam,90252.46426995592
700,Suman,48920.67087509986
701,Hari,19331.67783824411
702,Sita,36983.07162703204
703,Hari,54195.97561022449
704,Ram,86303.96887428558
705,Sita,95377.78547922206
706,Sita,76386.37927074387
707,Sita,99618.8981032968
708,Ram,81672.84229475123
709,Suman,64953.55624859066
710,Suman,7910.623346427459
711,Sita,14990.297945392573
712,Ram,76207.27613350214
713,Suman,13679.925339921318
714,Ram,65485.70236422435
715,Sita,51297.69858239671
716,Hari,71973.6930271867
717,Sita,13449.677895353729
718,Suman,48999.30565719126
719,Sita,62697.811813130866
720,Hari,15902.367137576657
721,Ram,61391.6032577562
722,Shyam,67075.8230595102
723,Shyam,31434.968451921497
724,Sita,13319.174336390171
725,Sita,94324.63556009516
726,Ram,56154.60102072267
727,Sita,32634.369909571782
728,Shyam,8531.902171603468
729,Suman,54808.74283508275
730,Hari,30928.592633172393
731,Ram,89573.13921188515
732,Suman,85930.95958613882
733,Suman,46792.24798431556
734,Ram,65059.72692121723
735,Ram,38510.57862118016
736,Shyam,4794.434171381734
737,Suman,28938.39232719213
738,Suman,73161.53766992436
739,Shyam,35819.12508354757
740,Suman,68387.00105150313
741,Shyam,65654.41648907165
742,Ram,30272.013845942656
743,Hari,50680.96522199662
744,Hari,90455.54825733756
745,Ram,47696.76604837662
746,Sita,61641.43051080191
747,Sita,49832.45947536782
748,Ram,75225.24904749985
749,Sita,82963.24875842578
750,Ram,65097.10044840562
751,Suman,34254.87423747731
752,Hari,53662.25915238434
753,Suman,4748.327173671385
754,Sita,52557.41509303443
755,Suman,5270.026220035717
756,Shyam,67098.8814615931
757,Suman,31848.89678379328
758,Suman,63277.35833891086
759,Ram,37078.27561641269
760,Ram,172.5985476917713
761,Sita,17117.24390076711
762,Sita,85891.91575715864
763,Ram,81565.13191075441
764,Hari,38344.8601204901
765,Hari,50693.88940578373
766,Ram,12589.837465952058
767,Hari,82840.53502558506
768,Suman,21732.477703219345
769,Suman,54905.27350261232
770,Sita,93502.21965066096
771,Suman,98830.58242359298
772,Ram,73843.22624698393
773,Shyam,72583.3724636134
774,Sita,8285.55824630406
775,Sita,3162.8019445510968
776,Sita,26400.218213694603
777,Ram,2420.359179776599
778,Shyam,61342.76091579045
779,Shyam,69836.13280353905
780,Sita,21295.028689348128
781,Ram,72192.90087235134
782,Suman,80433.07541790871
783,Sita,59304.55015305577
784,Hari,5004.806225644376
785,Suman,54473.66548161953
786,Shyam,43590.314872665505
787,Ram,55409.65535281695
788,Ram,78268.16607988086
789,Hari,95554.37234376154
790,Sita,28167.540599490592
791,Sita,25234.700570417855
792,Hari,80613.29564805598
793,Suman,91598.91749818971
794,Hari,19400.19242631428
795,Shyam,45618.198210659546
796,Sita,12071.275574926443
797,Sita,32739.38631710398
798,Ram,20982.287796548226
799,Suman,75882.33976139523
800,Shyam,13608.798637158303
801,Sita,35537.72130798127
802,Hari,6138.485924693627
803,Ram,8853.67856292496
804,Hari,56252.28006765488
805,Ram,4939.591843221469
806,Suman,20590.645172544297
807,Shyam,62671.44330391995
808,Ram,4688.802160083749
809,Shyam,69319.95181838224
810,Suman,32564.181842611517
811,Sita,41615.78632478459
812,Sita,97362.89538837147
813,Ram,9745.9799273651
814,Ram,71205.28837792709
815,Hari,29937.356931454207
816,Shyam,28354.577913649704
817,Hari,26254.194040186187
818,Ram,77057.145379352
819,Shyam,49609.49234934493
820,Sita,89870.71593127247
821,Hari,78979.66256982261
822,Shyam,20943.781544248264
823,Sita,98229.4517692734
824,Sita,57569.7196955137
825,Suman,73905.99004604969
826,Sita,9899.055038202665
827,Shyam,35885.67079256507
828,Shyam,17276.159011552394
829,Hari,13094.929663668498
830,Shyam,37396.82496607273
831,Sita,63606.22501354464
832,Sita,97849.21808198036
833,Hari,48254.66634582148
834,Suman,36799.47954143414
835,Sita,97913.6459325489
836,Suman,38157.41027970553
837,Suman,44570.12003371494
838,Shyam,47611.00513094767
839,Hari,61458.13830914517
840,Hari,98895.53133564684
841,Hari,59423.297032205
842,Ram,90565.42760934548
843,Suman,9271.794639593889
844,Hari,85697.08710317421
845,Sita,36716.19595411794
846,Suman,32418.41029132909
847,Shyam,52532.37704342973
848,Hari,1424.322165687808
849,Hari,69120.65887712938
850,Ram,75784.25082752203
851,Hari,7415.331663551916
852,Sita,14485.713988523985
853,Ram,90915.50977531227
854,Shyam,66546.39898456703
855,Shyam,12409.486058706976
856,Shyam,6413.5586085881
857,Shyam,95493.35024980214
858,Sita,92142.54980679751
859,Shyam,6757.553745904243
860,Shyam,52757.65362890126
861,Suman,15491.886380199348
862,Ram,51496.7360174303
863,Suman,74069.28557120002
864,Shyam,67378.09773645358
865,Suman,51247.21485351322
866,Suman,256.5996874722365
867,Hari,3003.15940968805
868,Sita,46060.430188897975
869,Hari,41239.61814437454
870,Suman,65170.41092785629
871,Suman,35484.354194493375
872,Ram,55910.143579827665
873,Sita,47703.74158899104
874,Sita,60120.453196933464
875,Ram,57440.248541009656
876,Hari,20747.24357122264
877,Sita,32284.914098422003
878,Hari,14277.484804297324
879,Ram,58495.84260231241
880,Suman,13355.44080331975
881,Ram,69178.27036070317
882,Sita,7545.229487005456
883,Shyam,71792.20960080803
884,Sita,78829.280168517
885,Sita,92117.10829775204
886,Shyam,60427.92569415135
887,Suman,35011.11689177187
888,Sita,46712.2519399746
889,Sita,34665.021016649865
890,Hari,57774.98529819607
891,Shyam,57599.29953543278
892,Hari,94859.15694517351
893,Suman,40738.15778687063
894,Hari,75027.4819000456
895,Ram,1132.2193825604177
896,Sita,8531.513479307117
897,Ram,78191.88646216645
898,Suman,71453.36213514167
899,Hari,66523.57708347424
900,Sita,1749.035843780067
901,Hari,27166.528907882846
902,Hari,45540.77380399543
903,Ram,71842.74533253799
904,Sita,45322.367550639894
905,Sita,3313.0804693510154
906,Suman,60594.044691453295
907,Sita,71649.28461437463
908,Ram,66741.99874777683
909,Ram,86613.79700802956
910,Hari,26276.135505833587
911,Ram,45782.11537202278
912,Ram,78796.75270352945
913,Ram,7448.322573865295
914,Ram,73157.9329537443
915,Hari,69456.34707169933
916,Shyam,44926.209614114996
917,Ram,16101.738135795396
918,Shyam,66578.76520359413
919,Sita,98470.1138180161
920,Suman,78853.87271535602
921,Shyam,9513.430500312836
922,Shyam,76335.43404640297
923,Ram,63515.77270449688
924,Shyam,33122.04714720136
925,Shyam,83271.19834919613
926,Hari,89869.50037542554
927,Ram,69786.95955905366
928,Sita,24671.344790557858
929,Shyam,356.64214969814975
930,Hari,29369.326189654344
931,Sita,45538.20658204592
932,Ram,36921.173888694626
933,Ram,28054.719794655757
934,Suman,75110.5354862489
935,Hari,37399.0119341526
936,Ram,60789.18585312605
937,Sita,20002.910421339493
938,Suman,33021.37282364507
939,Shyam,39846.10030752889
940,Ram,16078.518672109954
941,Shyam,39304.3653446849
942,Suman,11943.092148603495
943,Suman,56726.049227970034
944,Sita,54219.39521311731
945,Suman,64387.94202551463
946,Shyam,15321.254213410419
947,Suman,83830.46468860285
948,Suman,41757.327277554454
949,Ram,16390.763707372047
950,Sita,77165.14878844937
951,Shyam,71740.93451035926
952,Shyam,14474.440533892186
953,Shyam,65655.26153007973
954,Hari,69139.79852838241
955,Ram,39404.93430032273
956,Ram,33102.63313686044
957,Suman,76449.50541979539
958,Suman,49473.479814741935
959,Hari,61309.31273480596
960,Suman,59501.51268019177
961,Suman,85672.03378870533
962,Hari,94933.6095203617
963,Hari,9991.59662697764
964,Shyam,55592.739891450925
965,Ram,82829.4536510562
966,Ram,57886.35826714138
967,Hari,30057.268226939603
968,Suman,53357.44702563027
969,Ram,27180.81629226792
970,Sita,42790.628994338585
971,Ram,72724.50559402161
972,Hari,94777.87195120593
973,Sita,559.5594295188855
974,Suman,57776.36137796406
975,Sita,65781.0320337546
976,Ram,59055.377617998085
977,Hari,93781.67446414506
978,Shyam,20815.894055592198
979,Shyam,20562.819564117908
980,Suman,73894.40703102689
981,Hari,16792.950320863252
982,Sita,37272.62338557127
983,Sita,50832.85165596384
984,Ram,73393.6865098968
